road_node,lat,lon,weight
289295990,22.3356592,114.1444727,552.921875
289295992,22.3351223,114.144419,492.9017028808594
289329905,22.3324124,114.1554973,623.5498352050781
289333125,22.3294499,114.1453316,125.28031158447266
289333208,22.3297453,114.1439279,136.87803649902344
289333209,22.3296595,114.1438925,130.7949981689453
289333422,22.3294938,114.1435555,625.0039138793945
289333427,22.3279845,114.1414066,1321.3999786376953
289334287,22.3299545,114.1432178,145.6795654296875
289334324,22.3316664,114.1448435,139.0766143798828
289334507,22.3315194,114.1434764,202.8933868408203
289334889,22.331239,114.1425353,352.8801574707031
289335448,22.3341276,114.1443929,1175.7696685791016
289335789,22.3313701,114.1442061,149.59205627441406
289335887,22.3322733,114.1418833,731.885986328125
289336299,22.3304943,114.1464493,128.23605346679688
289336564,22.3270309,114.1520035,640.1437454223633
289336576,22.3277994,114.1508795,419.2915344238281
289337013,22.3264895,114.1537149,857.1207122802734
289337297,22.3247578,114.1556568,687.0216827392578
289337299,22.3235546,114.1567064,770.9813690185547
289338722,22.2876663,114.1373357,481.2846374511719
289339837,22.2870646,114.1533327,109.27510833740234
289340121,22.2873952,114.1351982,508.1469421386719
289340191,22.2855662,114.1341519,2731.762451171875
289340518,22.2856429,114.1338356,2483.476806640625
289340712,22.2862657,114.1343441,616.7639770507812
289341205,22.2859362,114.1318706,622.4962158203125
289341628,22.2841099,114.131192,2802.3184814453125
289341630,22.2846876,114.1306494,1206.0658569335938
289341787,22.284127,114.1287931,496.94921875
289560034,22.2783843,114.1780274,424.9953002929688
289665351,22.2763257,114.1652462,356.5389709472656
289665380,22.2778103,114.1633362,285.32332611083984
289666937,22.2807406,114.1805236,329.0819396972656
289837298,22.2804668,114.1856557,1422.96923828125
289839350,22.2819824,114.1832334,734.0721130371094
289839472,22.2816887,114.1858141,565.9152221679688
289865476,22.2821178,114.1499268,634.1044921875
